country,item_names,item_prices_usd,categoria_propia
Brazil,Loaf of Fresh White Bread(500g),1.59,"Alimentos, bebidas y tabaco"
Bosnia And Herzegovina,Loaf of Fresh White Bread(500g),0.94,"Alimentos, bebidas y tabaco"
North Macedonia,Loaf of Fresh White Bread(500g),0.7,"Alimentos, bebidas y tabaco"
Oman,Loaf of Fresh White Bread(500g),1.16,"Alimentos, bebidas y tabaco"
Uzbekistan,Loaf of Fresh White Bread(500g),0.5,"Alimentos, bebidas y tabaco"
Taiwan,Loaf of Fresh White Bread(500g),1.87,"Alimentos, bebidas y tabaco"
Colombia,Loaf of Fresh White Bread(500g),1.39,"Alimentos, bebidas y tabaco"
Iraq,Loaf of Fresh White Bread(500g),0.82,"Alimentos, bebidas y tabaco"
Libya,Loaf of Fresh White Bread(500g),0.33,"Alimentos, bebidas y tabaco"
Peru,Loaf of Fresh White Bread(500g),2.0,"Alimentos, bebidas y tabaco"
Iran,Loaf of Fresh White Bread(500g),0.58,"Alimentos, bebidas y tabaco"
Kenya,Loaf of Fresh White Bread(500g),0.51,"Alimentos, bebidas y tabaco"
Egypt,Loaf of Fresh White Bread(500g),0.59,"Alimentos, bebidas y tabaco"
Ecuador,Loaf of Fresh White Bread(500g),1.69,"Alimentos, bebidas y tabaco"
Philippines,Loaf of Fresh White Bread(500g),1.19,"Alimentos, bebidas y tabaco"
Morocco,Loaf of Fresh White Bread(500g),0.47,"Alimentos, bebidas y tabaco"
China,Loaf of Fresh White Bread(500g),1.63,"Alimentos, bebidas y tabaco"
Tunisia,Loaf of Fresh White Bread(500g),0.15,"Alimentos, bebidas y tabaco"
Sri Lanka,Loaf of Fresh White Bread(500g),0.63,"Alimentos, bebidas y tabaco"
India,Loaf of Fresh White Bread(500g),0.5,"Alimentos, bebidas y tabaco"
Malaysia,Loaf of Fresh White Bread(500g),0.8,"Alimentos, bebidas y tabaco"
Bolivia,Loaf of Fresh White Bread(500g),1.24,"Alimentos, bebidas y tabaco"
Thailand,Loaf of Fresh White Bread(500g),1.29,"Alimentos, bebidas y tabaco"
Algeria,Loaf of Fresh White Bread(500g),0.15,"Alimentos, bebidas y tabaco"
Nigeria,Loaf of Fresh White Bread(500g),1.4,"Alimentos, bebidas y tabaco"
Vietnam,Loaf of Fresh White Bread(500g),0.99,"Alimentos, bebidas y tabaco"
Nepal,Loaf of Fresh White Bread(500g),0.52,"Alimentos, bebidas y tabaco"
Indonesia,Loaf of Fresh White Bread(500g),1.11,"Alimentos, bebidas y tabaco"
Bangladesh,Loaf of Fresh White Bread(500g),0.58,"Alimentos, bebidas y tabaco"
Pakistan,Loaf of Fresh White Bread(500g),0.57,"Alimentos, bebidas y tabaco"
Switzerland,Local Cheese(1kg),26.35,"Alimentos, bebidas y tabaco"
Denmark,Local Cheese(1kg),12.09,"Alimentos, bebidas y tabaco"
United States,Local Cheese(1kg),12.84,"Alimentos, bebidas y tabaco"
Belgium,Local Cheese(1kg),14.1,"Alimentos, bebidas y tabaco"
Luxembourg,Local Cheese(1kg),16.03,"Alimentos, bebidas y tabaco"
United Kingdom,Local Cheese(1kg),8.71,"Alimentos, bebidas y tabaco"
Israel,Local Cheese(1kg),13.61,"Alimentos, bebidas y tabaco"
Canada,Local Cheese(1kg),11.5,"Alimentos, bebidas y tabaco"
Norway,Local Cheese(1kg),10.48,"Alimentos, bebidas y tabaco"
Netherlands,Local Cheese(1kg),12.04,"Alimentos, bebidas y tabaco"
Ireland,Local Cheese(1kg),8.91,"Alimentos, bebidas y tabaco"
Australia,Local Cheese(1kg),10.13,"Alimentos, bebidas y tabaco"
Greece,Local Cheese(1kg),13.34,"Alimentos, bebidas y tabaco"
Uruguay,Local Cheese(1kg),13.1,"Alimentos, bebidas y tabaco"
Cyprus,Local Cheese(1kg),12.47,"Alimentos, bebidas y tabaco"
Austria,Local Cheese(1kg),17.08,"Alimentos, bebidas y tabaco"
Italy,Local Cheese(1kg),14.16,"Alimentos, bebidas y tabaco"
Malta,Local Cheese(1kg),9.42,"Alimentos, bebidas y tabaco"
France,Local Cheese(1kg),18.25,"Alimentos, bebidas y tabaco"
Finland,Local Cheese(1kg),8.26,"Alimentos, bebidas y tabaco"
New Zealand,Local Cheese(1kg),8.55,"Alimentos, bebidas y tabaco"
Germany,Local Cheese(1kg),13.48,"Alimentos, bebidas y tabaco"
Spain,Local Cheese(1kg),12.59,"Alimentos, bebidas y tabaco"
Estonia,Local Cheese(1kg),10.39,"Alimentos, bebidas y tabaco"
Slovenia,Local Cheese(1kg),13.08,"Alimentos, bebidas y tabaco"
Lithuania,Local Cheese(1kg),11.84,"Alimentos, bebidas y tabaco"
Sweden,Local Cheese(1kg),10.74,"Alimentos, bebidas y tabaco"
Singapore,Local Cheese(1kg),18.19,"Alimentos, bebidas y tabaco"
Portugal,Local Cheese(1kg),10.62,"Alimentos, bebidas y tabaco"
Latvia,Local Cheese(1kg),10.57,"Alimentos, bebidas y tabaco"
Bulgaria,Local Cheese(1kg),9.45,"Alimentos, bebidas y tabaco"
Croatia,Local Cheese(1kg),10.64,"Alimentos, bebidas y tabaco"
Montenegro,Local Cheese(1kg),7.97,"Alimentos, bebidas y tabaco"
Albania,Local Cheese(1kg),10.35,"Alimentos, bebidas y tabaco"
Hungary,Local Cheese(1kg),9.92,"Alimentos, bebidas y tabaco"
Armenia,Local Cheese(1kg),7.95,"Alimentos, bebidas y tabaco"
Panama,Local Cheese(1kg),10.39,"Alimentos, bebidas y tabaco"
Venezuela,Local Cheese(1kg),5.28,"Alimentos, bebidas y tabaco"
Costa Rica,Local Cheese(1kg),8.39,"Alimentos, bebidas y tabaco"
Romania,Local Cheese(1kg),8.28,"Alimentos, bebidas y tabaco"
Mexico,Local Cheese(1kg),9.0,"Alimentos, bebidas y tabaco"
Georgia,Local Cheese(1kg),8.37,"Alimentos, bebidas y tabaco"
Kazakhstan,Local Cheese(1kg),9.97,"Alimentos, bebidas y tabaco"
Hong Kong (China),Local Cheese(1kg),27.84,"Alimentos, bebidas y tabaco"
Azerbaijan,Local Cheese(1kg),5.16,"Alimentos, bebidas y tabaco"
Poland,Local Cheese(1kg),8.66,"Alimentos, bebidas y tabaco"
Slovakia,Local Cheese(1kg),12.86,"Alimentos, bebidas y tabaco"
Czech Republic,Local Cheese(1kg),11.48,"Alimentos, bebidas y tabaco"
Chile,Local Cheese(1kg),10.25,"Alimentos, bebidas y tabaco"
Serbia,Local Cheese(1kg),8.54,"Alimentos, bebidas y tabaco"
Qatar,Local Cheese(1kg),10.31,"Alimentos, bebidas y tabaco"
United Arab Emirates,Local Cheese(1kg),8.92,"Alimentos, bebidas y tabaco"
South Africa,Local Cheese(1kg),6.96,"Alimentos, bebidas y tabaco"
Turkey,Local Cheese(1kg),7.4,"Alimentos, bebidas y tabaco"
Belarus,Local Cheese(1kg),5.97,"Alimentos, bebidas y tabaco"
Russia,Local Cheese(1kg),8.11,"Alimentos, bebidas y tabaco"
Moldova,Local Cheese(1kg),10.31,"Alimentos, bebidas y tabaco"
South Korea,Local Cheese(1kg),12.0,"Alimentos, bebidas y tabaco"
Jordan,Local Cheese(1kg),7.14,"Alimentos, bebidas y tabaco"
Argentina,Local Cheese(1kg),6.75,"Alimentos, bebidas y tabaco"
Cuba,Local Cheese(1kg),6.3,"Alimentos, bebidas y tabaco"
Palestine,Local Cheese(1kg),5.94,"Alimentos, bebidas y tabaco"
Jamaica,Local Cheese(1kg),10.86,"Alimentos, bebidas y tabaco"
Saudi Arabia,Local Cheese(1kg),7.36,"Alimentos, bebidas y tabaco"
Japan,Local Cheese(1kg),10.84,"Alimentos, bebidas y tabaco"
Kuwait,Local Cheese(1kg),5.2,"Alimentos, bebidas y tabaco"
Mauritius,Local Cheese(1kg),9.41,"Alimentos, bebidas y tabaco"
Ukraine,Local Cheese(1kg),7.76,"Alimentos, bebidas y tabaco"
Brazil,Local Cheese(1kg),9.1,"Alimentos, bebidas y tabaco"
Bosnia And Herzegovina,Local Cheese(1kg),7.65,"Alimentos, bebidas y tabaco"
North Macedonia,Local Cheese(1kg),7.37,"Alimentos, bebidas y tabaco"
Oman,Local Cheese(1kg),5.16,"Alimentos, bebidas y tabaco"
Uzbekistan,Local Cheese(1kg),6.78,"Alimentos, bebidas y tabaco"
Taiwan,Local Cheese(1kg),14.51,"Alimentos, bebidas y tabaco"
Colombia,Local Cheese(1kg),4.85,"Alimentos, bebidas y tabaco"
Iraq,Local Cheese(1kg),5.23,"Alimentos, bebidas y tabaco"
Libya,Local Cheese(1kg),5.18,"Alimentos, bebidas y tabaco"
Peru,Local Cheese(1kg),6.09,"Alimentos, bebidas y tabaco"
Iran,Local Cheese(1kg),3.8,"Alimentos, bebidas y tabaco"
Kenya,Local Cheese(1kg),10.45,"Alimentos, bebidas y tabaco"
Egypt,Local Cheese(1kg),3.36,"Alimentos, bebidas y tabaco"
Ecuador,Local Cheese(1kg),6.07,"Alimentos, bebidas y tabaco"
Philippines,Local Cheese(1kg),7.14,"Alimentos, bebidas y tabaco"
Morocco,Local Cheese(1kg),8.75,"Alimentos, bebidas y tabaco"
China,Local Cheese(1kg),12.83,"Alimentos, bebidas y tabaco"
Tunisia,Local Cheese(1kg),9.9,"Alimentos, bebidas y tabaco"
Sri Lanka,Local Cheese(1kg),12.18,"Alimentos, bebidas y tabaco"
India,Local Cheese(1kg),5.35,"Alimentos, bebidas y tabaco"
Malaysia,Local Cheese(1kg),12.21,"Alimentos, bebidas y tabaco"
Bolivia,Local Cheese(1kg),4.57,"Alimentos, bebidas y tabaco"
Thailand,Local Cheese(1kg),16.44,"Alimentos, bebidas y tabaco"
Algeria,Local Cheese(1kg),8.1,"Alimentos, bebidas y tabaco"
Nigeria,Local Cheese(1kg),3.66,"Alimentos, bebidas y tabaco"
Vietnam,Local Cheese(1kg),11.6,"Alimentos, bebidas y tabaco"
Nepal,Local Cheese(1kg),7.83,"Alimentos, bebidas y tabaco"
Indonesia,Local Cheese(1kg),7.6,"Alimentos, bebidas y tabaco"
Bangladesh,Local Cheese(1kg),8.4,"Alimentos, bebidas y tabaco"
Pakistan,Local Cheese(1kg),5.02,"Alimentos, bebidas y tabaco"
Switzerland,Water(1.5 liter bottle),1.39,"Alimentos, bebidas y tabaco"
Denmark,Water(1.5 liter bottle),1.33,"Alimentos, bebidas y tabaco"
United States,Water(1.5 liter bottle),2.19,"Alimentos, bebidas y tabaco"
Belgium,Water(1.5 liter bottle),0.92,"Alimentos, bebidas y tabaco"
Luxembourg,Water(1.5 liter bottle),0.65,"Alimentos, bebidas y tabaco"
United Kingdom,Water(1.5 liter bottle),1.33,"Alimentos, bebidas y tabaco"
Israel,Water(1.5 liter bottle),1.28,"Alimentos, bebidas y tabaco"
Canada,Water(1.5 liter bottle),1.81,"Alimentos, bebidas y tabaco"
Norway,Water(1.5 liter bottle),2.0,"Alimentos, bebidas y tabaco"
Netherlands,Water(1.5 liter bottle),0.75,"Alimentos, bebidas y tabaco"
Ireland,Water(1.5 liter bottle),1.63,"Alimentos, bebidas y tabaco"
Australia,Water(1.5 liter bottle),1.71,"Alimentos, bebidas y tabaco"
Greece,Water(1.5 liter bottle),0.83,"Alimentos, bebidas y tabaco"
Uruguay,Water(1.5 liter bottle),1.75,"Alimentos, bebidas y tabaco"
Cyprus,Water(1.5 liter bottle),0.93,"Alimentos, bebidas y tabaco"
Austria,Water(1.5 liter bottle),0.77,"Alimentos, bebidas y tabaco"
Italy,Water(1.5 liter bottle),0.47,"Alimentos, bebidas y tabaco"
Malta,Water(1.5 liter bottle),0.84,"Alimentos, bebidas y tabaco"
France,Water(1.5 liter bottle),0.75,"Alimentos, bebidas y tabaco"
Finland,Water(1.5 liter bottle),1.73,"Alimentos, bebidas y tabaco"
New Zealand,Water(1.5 liter bottle),1.1,"Alimentos, bebidas y tabaco"
Germany,Water(1.5 liter bottle),0.92,"Alimentos, bebidas y tabaco"
Spain,Water(1.5 liter bottle),0.7,"Alimentos, bebidas y tabaco"
Estonia,Water(1.5 liter bottle),1.02,"Alimentos, bebidas y tabaco"
Slovenia,Water(1.5 liter bottle),0.82,"Alimentos, bebidas y tabaco"
Lithuania,Water(1.5 liter bottle),0.86,"Alimentos, bebidas y tabaco"
Sweden,Water(1.5 liter bottle),1.36,"Alimentos, bebidas y tabaco"
Singapore,Water(1.5 liter bottle),1.32,"Alimentos, bebidas y tabaco"
Portugal,Water(1.5 liter bottle),0.75,"Alimentos, bebidas y tabaco"
Latvia,Water(1.5 liter bottle),0.84,"Alimentos, bebidas y tabaco"
Bulgaria,Water(1.5 liter bottle),0.65,"Alimentos, bebidas y tabaco"
Croatia,Water(1.5 liter bottle),1.06,"Alimentos, bebidas y tabaco"
Montenegro,Water(1.5 liter bottle),0.83,"Alimentos, bebidas y tabaco"
Albania,Water(1.5 liter bottle),0.64,"Alimentos, bebidas y tabaco"
Hungary,Water(1.5 liter bottle),0.48,"Alimentos, bebidas y tabaco"
Armenia,Water(1.5 liter bottle),0.69,"Alimentos, bebidas y tabaco"
Panama,Water(1.5 liter bottle),1.51,"Alimentos, bebidas y tabaco"
Venezuela,Water(1.5 liter bottle),1.34,"Alimentos, bebidas y tabaco"
Costa Rica,Water(1.5 liter bottle),2.4,"Alimentos, bebidas y tabaco"
Romania,Water(1.5 liter bottle),0.74,"Alimentos, bebidas y tabaco"
Mexico,Water(1.5 liter bottle),1.05,"Alimentos, bebidas y tabaco"
Georgia,Water(1.5 liter bottle),0.65,"Alimentos, bebidas y tabaco"
Kazakhstan,Water(1.5 liter bottle),0.74,"Alimentos, bebidas y tabaco"
Hong Kong (China),Water(1.5 liter bottle),1.68,"Alimentos, bebidas y tabaco"
Azerbaijan,Water(1.5 liter bottle),0.58,"Alimentos, bebidas y tabaco"
Poland,Water(1.5 liter bottle),0.6,"Alimentos, bebidas y tabaco"
Slovakia,Water(1.5 liter bottle),0.8,"Alimentos, bebidas y tabaco"
Czech Republic,Water(1.5 liter bottle),0.7,"Alimentos, bebidas y tabaco"
Chile,Water(1.5 liter bottle),1.22,"Alimentos, bebidas y tabaco"
Serbia,Water(1.5 liter bottle),0.58,"Alimentos, bebidas y tabaco"
Qatar,Water(1.5 liter bottle),0.46,"Alimentos, bebidas y tabaco"
United Arab Emirates,Water(1.5 liter bottle),0.61,"Alimentos, bebidas y tabaco"
South Africa,Water(1.5 liter bottle),0.9,"Alimentos, bebidas y tabaco"
Turkey,Water(1.5 liter bottle),0.38,"Alimentos, bebidas y tabaco"
Belarus,Water(1.5 liter bottle),0.54,"Alimentos, bebidas y tabaco"
Russia,Water(1.5 liter bottle),0.52,"Alimentos, bebidas y tabaco"
Moldova,Water(1.5 liter bottle),0.73,"Alimentos, bebidas y tabaco"
South Korea,Water(1.5 liter bottle),1.05,"Alimentos, bebidas y tabaco"
Jordan,Water(1.5 liter bottle),0.57,"Alimentos, bebidas y tabaco"
Argentina,Water(1.5 liter bottle),1.08,"Alimentos, bebidas y tabaco"
Cuba,Water(1.5 liter bottle),1.02,"Alimentos, bebidas y tabaco"
Palestine,Water(1.5 liter bottle),0.76,"Alimentos, bebidas y tabaco"
Jamaica,Water(1.5 liter bottle),1.19,"Alimentos, bebidas y tabaco"
Saudi Arabia,Water(1.5 liter bottle),0.62,"Alimentos, bebidas y tabaco"
Japan,Water(1.5 liter bottle),0.83,"Alimentos, bebidas y tabaco"
Kuwait,Water(1.5 liter bottle),0.45,"Alimentos, bebidas y tabaco"
Mauritius,Water(1.5 liter bottle),0.58,"Alimentos, bebidas y tabaco"
Ukraine,Water(1.5 liter bottle),0.51,"Alimentos, bebidas y tabaco"
Brazil,Water(1.5 liter bottle),0.7,"Alimentos, bebidas y tabaco"
Bosnia And Herzegovina,Water(1.5 liter bottle),0.63,"Alimentos, bebidas y tabaco"
North Macedonia,Water(1.5 liter bottle),0.5,"Alimentos, bebidas y tabaco"
Oman,Water(1.5 liter bottle),0.55,"Alimentos, bebidas y tabaco"
Uzbekistan,Water(1.5 liter bottle),0.37,"Alimentos, bebidas y tabaco"
Taiwan,Water(1.5 liter bottle),1.11,"Alimentos, bebidas y tabaco"
Colombia,Water(1.5 liter bottle),0.8,"Alimentos, bebidas y tabaco"
Iraq,Water(1.5 liter bottle),0.52,"Alimentos, bebidas y tabaco"
Libya,Water(1.5 liter bottle),0.23,"Alimentos, bebidas y tabaco"
Peru,Water(1.5 liter bottle),0.75,"Alimentos, bebidas y tabaco"
Iran,Water(1.5 liter bottle),0.25,"Alimentos, bebidas y tabaco"
Kenya,Water(1.5 liter bottle),0.62,"Alimentos, bebidas y tabaco"
Egypt,Water(1.5 liter bottle),0.17,"Alimentos, bebidas y tabaco"
Ecuador,Water(1.5 liter bottle),1.12,"Alimentos, bebidas y tabaco"
Philippines,Water(1.5 liter bottle),0.71,"Alimentos, bebidas y tabaco"
Morocco,Water(1.5 liter bottle),0.57,"Alimentos, bebidas y tabaco"
China,Water(1.5 liter bottle),0.56,"Alimentos, bebidas y tabaco"
Tunisia,Water(1.5 liter bottle),0.27,"Alimentos, bebidas y tabaco"
Sri Lanka,Water(1.5 liter bottle),0.56,"Alimentos, bebidas y tabaco"
India,Water(1.5 liter bottle),0.35,"Alimentos, bebidas y tabaco"
Malaysia,Water(1.5 liter bottle),0.52,"Alimentos, bebidas y tabaco"
Bolivia,Water(1.5 liter bottle),1.03,"Alimentos, bebidas y tabaco"
Thailand,Water(1.5 liter bottle),0.45,"Alimentos, bebidas y tabaco"
Algeria,Water(1.5 liter bottle),0.3,"Alimentos, bebidas y tabaco"
Nigeria,Water(1.5 liter bottle),0.46,"Alimentos, bebidas y tabaco"
Vietnam,Water(1.5 liter bottle),0.49,"Alimentos, bebidas y tabaco"
Nepal,Water(1.5 liter bottle),0.26,"Alimentos, bebidas y tabaco"
Indonesia,Water(1.5 liter bottle),0.43,"Alimentos, bebidas y tabaco"
Bangladesh,Water(1.5 liter bottle),0.28,"Alimentos, bebidas y tabaco"
Pakistan,Water(1.5 liter bottle),0.34,"Alimentos, bebidas y tabaco"
Switzerland,Bottle of Wine(Mid-Range),13.22,"Alimentos, bebidas y tabaco"
Denmark,Bottle of Wine(Mid-Range),9.36,"Alimentos, bebidas y tabaco"
United States,Bottle of Wine(Mid-Range),15.0,"Alimentos, bebidas y tabaco"
Belgium,Bottle of Wine(Mid-Range),7.51,"Alimentos, bebidas y tabaco"
Luxembourg,Bottle of Wine(Mid-Range),8.59,"Alimentos, bebidas y tabaco"
United Kingdom,Bottle of Wine(Mid-Range),10.03,"Alimentos, bebidas y tabaco"
Israel,Bottle of Wine(Mid-Range),10.75,"Alimentos, bebidas y tabaco"
Canada,Bottle of Wine(Mid-Range),13.17,"Alimentos, bebidas y tabaco"
Norway,Bottle of Wine(Mid-Range),13.66,"Alimentos, bebidas y tabaco"
Netherlands,Bottle of Wine(Mid-Range),6.43,"Alimentos, bebidas y tabaco"
Ireland,Bottle of Wine(Mid-Range),12.88,"Alimentos, bebidas y tabaco"
Australia,Bottle of Wine(Mid-Range),13.15,"Alimentos, bebidas y tabaco"
Greece,Bottle of Wine(Mid-Range),8.59,"Alimentos, bebidas y tabaco"
Uruguay,Bottle of Wine(Mid-Range),7.83,"Alimentos, bebidas y tabaco"
Cyprus,Bottle of Wine(Mid-Range),7.51,"Alimentos, bebidas y tabaco"
Austria,Bottle of Wine(Mid-Range),8.59,"Alimentos, bebidas y tabaco"
Italy,Bottle of Wine(Mid-Range),6.44,"Alimentos, bebidas y tabaco"
Malta,Bottle of Wine(Mid-Range),6.44,"Alimentos, bebidas y tabaco"
France,Bottle of Wine(Mid-Range),7.51,"Alimentos, bebidas y tabaco"
Finland,Bottle of Wine(Mid-Range),13.69,"Alimentos, bebidas y tabaco"
New Zealand,Bottle of Wine(Mid-Range),9.56,"Alimentos, bebidas y tabaco"
Germany,Bottle of Wine(Mid-Range),6.43,"Alimentos, bebidas y tabaco"
Spain,Bottle of Wine(Mid-Range),5.37,"Alimentos, bebidas y tabaco"
Estonia,Bottle of Wine(Mid-Range),8.59,"Alimentos, bebidas y tabaco"
Slovenia,Bottle of Wine(Mid-Range),6.44,"Alimentos, bebidas y tabaco"
Lithuania,Bottle of Wine(Mid-Range),8.59,"Alimentos, bebidas y tabaco"
Sweden,Bottle of Wine(Mid-Range),9.21,"Alimentos, bebidas y tabaco"
Singapore,Bottle of Wine(Mid-Range),22.17,"Alimentos, bebidas y tabaco"
Portugal,Bottle of Wine(Mid-Range),5.36,"Alimentos, bebidas y tabaco"
Latvia,Bottle of Wine(Mid-Range),7.51,"Alimentos, bebidas y tabaco"
Bulgaria,Bottle of Wine(Mid-Range),5.76,"Alimentos, bebidas y tabaco"
Croatia,Bottle of Wine(Mid-Range),6.44,"Alimentos, bebidas y tabaco"
Montenegro,Bottle of Wine(Mid-Range),5.37,"Alimentos, bebidas y tabaco"
Albania,Bottle of Wine(Mid-Range),9.63,"Alimentos, bebidas y tabaco"
Hungary,Bottle of Wine(Mid-Range),4.82,"Alimentos, bebidas y tabaco"
Armenia,Bottle of Wine(Mid-Range),10.34,"Alimentos, bebidas y tabaco"
Panama,Bottle of Wine(Mid-Range),9.0,"Alimentos, bebidas y tabaco"
Venezuela,Bottle of Wine(Mid-Range),8.0,"Alimentos, bebidas y tabaco"
Costa Rica,Bottle of Wine(Mid-Range),13.75,"Alimentos, bebidas y tabaco"
Romania,Bottle of Wine(Mid-Range),6.47,"Alimentos, bebidas y tabaco"
Mexico,Bottle of Wine(Mid-Range),11.79,"Alimentos, bebidas y tabaco"
Georgia,Bottle of Wine(Mid-Range),6.74,"Alimentos, bebidas y tabaco"
Kazakhstan,Bottle of Wine(Mid-Range),6.78,"Alimentos, bebidas y tabaco"
Hong Kong (China),Bottle of Wine(Mid-Range),15.35,"Alimentos, bebidas y tabaco"
Azerbaijan,Bottle of Wine(Mid-Range),7.65,"Alimentos, bebidas y tabaco"
Poland,Bottle of Wine(Mid-Range),6.2,"Alimentos, bebidas y tabaco"
Slovakia,Bottle of Wine(Mid-Range),5.37,"Alimentos, bebidas y tabaco"
Czech Republic,Bottle of Wine(Mid-Range),6.44,"Alimentos, bebidas y tabaco"
Chile,Bottle of Wine(Mid-Range),5.17,"Alimentos, bebidas y tabaco"
Serbia,Bottle of Wine(Mid-Range),6.41,"Alimentos, bebidas y tabaco"
United Arab Emirates,Bottle of Wine(Mid-Range),12.59,"Alimentos, bebidas y tabaco"
South Africa,Bottle of Wine(Mid-Range),4.31,"Alimentos, bebidas y tabaco"
Turkey,Bottle of Wine(Mid-Range),9.27,"Alimentos, bebidas y tabaco"
Belarus,Bottle of Wine(Mid-Range),6.13,"Alimentos, bebidas y tabaco"
Russia,Bottle of Wine(Mid-Range),5.44,"Alimentos, bebidas y tabaco"
Moldova,Bottle of Wine(Mid-Range),5.1,"Alimentos, bebidas y tabaco"
South Korea,Bottle of Wine(Mid-Range),14.68,"Alimentos, bebidas y tabaco"
Jordan,Bottle of Wine(Mid-Range),21.17,"Alimentos, bebidas y tabaco"
Argentina,Bottle of Wine(Mid-Range),3.5,"Alimentos, bebidas y tabaco"
Cuba,Bottle of Wine(Mid-Range),10.0,"Alimentos, bebidas y tabaco"
Palestine,Bottle of Wine(Mid-Range),11.28,"Alimentos, bebidas y tabaco"
Jamaica,Bottle of Wine(Mid-Range),9.62,"Alimentos, bebidas y tabaco"
Japan,Bottle of Wine(Mid-Range),6.52,"Alimentos, bebidas y tabaco"
Mauritius,Bottle of Wine(Mid-Range),10.81,"Alimentos, bebidas y tabaco"
Ukraine,Bottle of Wine(Mid-Range),4.35,"Alimentos, bebidas y tabaco"
Brazil,Bottle of Wine(Mid-Range),7.83,"Alimentos, bebidas y tabaco"
Bosnia And Herzegovina,Bottle of Wine(Mid-Range),5.49,"Alimentos, bebidas y tabaco"
North Macedonia,Bottle of Wine(Mid-Range),5.23,"Alimentos, bebidas y tabaco"
Oman,Bottle of Wine(Mid-Range),18.19,"Alimentos, bebidas y tabaco"
Uzbekistan,Bottle of Wine(Mid-Range),5.0,"Alimentos, bebidas y tabaco"
Taiwan,Bottle of Wine(Mid-Range),12.36,"Alimentos, bebidas y tabaco"
Colombia,Bottle of Wine(Mid-Range),8.97,"Alimentos, bebidas y tabaco"
Iraq,Bottle of Wine(Mid-Range),11.48,"Alimentos, bebidas y tabaco"
Peru,Bottle of Wine(Mid-Range),7.99,"Alimentos, bebidas y tabaco"
Kenya,Bottle of Wine(Mid-Range),8.91,"Alimentos, bebidas y tabaco"
Egypt,Bottle of Wine(Mid-Range),6.26,"Alimentos, bebidas y tabaco"
Ecuador,Bottle of Wine(Mid-Range),10.0,"Alimentos, bebidas y tabaco"
Philippines,Bottle of Wine(Mid-Range),6.62,"Alimentos, bebidas y tabaco"
Morocco,Bottle of Wine(Mid-Range),6.2,"Alimentos, bebidas y tabaco"
China,Bottle of Wine(Mid-Range),11.57,"Alimentos, bebidas y tabaco"
Tunisia,Bottle of Wine(Mid-Range),5.72,"Alimentos, bebidas y tabaco"
Sri Lanka,Bottle of Wine(Mid-Range),11.81,"Alimentos, bebidas y tabaco"
India,Bottle of Wine(Mid-Range),8.99,"Alimentos, bebidas y tabaco"
Malaysia,Bottle of Wine(Mid-Range),14.77,"Alimentos, bebidas y tabaco"
Bolivia,Bottle of Wine(Mid-Range),5.8,"Alimentos, bebidas y tabaco"
Thailand,Bottle of Wine(Mid-Range),16.29,"Alimentos, bebidas y tabaco"
Algeria,Bottle of Wine(Mid-Range),7.86,"Alimentos, bebidas y tabaco"
Nigeria,Bottle of Wine(Mid-Range),6.65,"Alimentos, bebidas y tabaco"
Vietnam,Bottle of Wine(Mid-Range),9.84,"Alimentos, bebidas y tabaco"
Nepal,Bottle of Wine(Mid-Range),6.76,"Alimentos, bebidas y tabaco"
Indonesia,Bottle of Wine(Mid-Range),18.66,"Alimentos, bebidas y tabaco"
Switzerland,Domestic Beer(0.5 liter bottle),2.25,"Alimentos, bebidas y tabaco"
Denmark,Domestic Beer(0.5 liter bottle),1.74,"Alimentos, bebidas y tabaco"
United States,Domestic Beer(0.5 liter bottle),1.77,"Alimentos, bebidas y tabaco"
Belgium,Domestic Beer(0.5 liter bottle),1.81,"Alimentos, bebidas y tabaco"
Luxembourg,Domestic Beer(0.5 liter bottle),1.51,"Alimentos, bebidas y tabaco"
United Kingdom,Domestic Beer(0.5 liter bottle),2.41,"Alimentos, bebidas y tabaco"
Israel,Domestic Beer(0.5 liter bottle),2.48,"Alimentos, bebidas y tabaco"
Canada,Domestic Beer(0.5 liter bottle),2.99,"Alimentos, bebidas y tabaco"
Norway,Domestic Beer(0.5 liter bottle),3.06,"Alimentos, bebidas y tabaco"
Netherlands,Domestic Beer(0.5 liter bottle),1.35,"Alimentos, bebidas y tabaco"
Ireland,Domestic Beer(0.5 liter bottle),3.17,"Alimentos, bebidas y tabaco"
Australia,Domestic Beer(0.5 liter bottle),4.93,"Alimentos, bebidas y tabaco"
Greece,Domestic Beer(0.5 liter bottle),1.75,"Alimentos, bebidas y tabaco"
Uruguay,Domestic Beer(0.5 liter bottle),2.34,"Alimentos, bebidas y tabaco"
Cyprus,Domestic Beer(0.5 liter bottle),1.7,"Alimentos, bebidas y tabaco"
Austria,Domestic Beer(0.5 liter bottle),1.34,"Alimentos, bebidas y tabaco"
Italy,Domestic Beer(0.5 liter bottle),1.61,"Alimentos, bebidas y tabaco"
Malta,Domestic Beer(0.5 liter bottle),1.68,"Alimentos, bebidas y tabaco"
France,Domestic Beer(0.5 liter bottle),2.35,"Alimentos, bebidas y tabaco"
Finland,Domestic Beer(0.5 liter bottle),3.03,"Alimentos, bebidas y tabaco"
New Zealand,Domestic Beer(0.5 liter bottle),3.14,"Alimentos, bebidas y tabaco"
