country,item_names,item_prices_usd,categoria_propia
Indonesia,"Meal, Inexpensive Restaurant",1.87,Restaurantes
Bangladesh,"Meal, Inexpensive Restaurant",1.83,Restaurantes
Pakistan,"Meal, Inexpensive Restaurant",1.8,Restaurantes
Switzerland,"Meal for 2 People,Mid-range Restaurant, Three-course",126.59,Restaurantes
Denmark,"Meal for 2 People,Mid-range Restaurant, Three-course",100.75,Restaurantes
United States,"Meal for 2 People,Mid-range Restaurant, Three-course",75.0,Restaurantes
Belgium,"Meal for 2 People,Mid-range Restaurant, Three-course",85.87,Restaurantes
Luxembourg,"Meal for 2 People,Mid-range Restaurant, Three-course",85.87,Restaurantes
United Kingdom,"Meal for 2 People,Mid-range Restaurant, Three-course",75.29,Restaurantes
Israel,"Meal for 2 People,Mid-range Restaurant, Three-course",80.6,Restaurantes
Canada,"Meal for 2 People,Mid-range Restaurant, Three-course",73.15,Restaurantes
Norway,"Meal for 2 People,Mid-range Restaurant, Three-course",91.09,Restaurantes
Netherlands,"Meal for 2 People,Mid-range Restaurant, Three-course",75.14,Restaurantes
Ireland,"Meal for 2 People,Mid-range Restaurant, Three-course",85.87,Restaurantes
Australia,"Meal for 2 People,Mid-range Restaurant, Three-course",85.47,Restaurantes
Greece,"Meal for 2 People,Mid-range Restaurant, Three-course",53.67,Restaurantes
Uruguay,"Meal for 2 People,Mid-range Restaurant, Three-course",52.17,Restaurantes
Cyprus,"Meal for 2 People,Mid-range Restaurant, Three-course",64.41,Restaurantes
Austria,"Meal for 2 People,Mid-range Restaurant, Three-course",69.77,Restaurantes
Italy,"Meal for 2 People,Mid-range Restaurant, Three-course",64.41,Restaurantes
Malta,"Meal for 2 People,Mid-range Restaurant, Three-course",75.14,Restaurantes
France,"Meal for 2 People,Mid-range Restaurant, Three-course",64.41,Restaurantes
Finland,"Meal for 2 People,Mid-range Restaurant, Three-course",85.87,Restaurantes
New Zealand,"Meal for 2 People,Mid-range Restaurant, Three-course",71.67,Restaurantes
Germany,"Meal for 2 People,Mid-range Restaurant, Three-course",64.41,Restaurantes
Spain,"Meal for 2 People,Mid-range Restaurant, Three-course",53.67,Restaurantes
Estonia,"Meal for 2 People,Mid-range Restaurant, Three-course",64.41,Restaurantes
Slovenia,"Meal for 2 People,Mid-range Restaurant, Three-course",53.67,Restaurantes
Lithuania,"Meal for 2 People,Mid-range Restaurant, Three-course",59.04,Restaurantes
Sweden,"Meal for 2 People,Mid-range Restaurant, Three-course",73.72,Restaurantes
Singapore,"Meal for 2 People,Mid-range Restaurant, Three-course",72.05,Restaurantes
Portugal,"Meal for 2 People,Mid-range Restaurant, Three-course",42.94,Restaurantes
Latvia,"Meal for 2 People,Mid-range Restaurant, Three-course",64.41,Restaurantes
Bulgaria,"Meal for 2 People,Mid-range Restaurant, Three-course",38.42,Restaurantes
Croatia,"Meal for 2 People,Mid-range Restaurant, Three-course",59.04,Restaurantes
Montenegro,"Meal for 2 People,Mid-range Restaurant, Three-course",42.94,Restaurantes
Albania,"Meal for 2 People,Mid-range Restaurant, Three-course",42.78,Restaurantes
Hungary,"Meal for 2 People,Mid-range Restaurant, Three-course",49.61,Restaurantes
Armenia,"Meal for 2 People,Mid-range Restaurant, Three-course",51.68,Restaurantes
Panama,"Meal for 2 People,Mid-range Restaurant, Three-course",60.0,Restaurantes
Venezuela,"Meal for 2 People,Mid-range Restaurant, Three-course",50.0,Restaurantes
Costa Rica,"Meal for 2 People,Mid-range Restaurant, Three-course",58.94,Restaurantes
Romania,"Meal for 2 People,Mid-range Restaurant, Three-course",43.14,Restaurantes
Mexico,"Meal for 2 People,Mid-range Restaurant, Three-course",41.26,Restaurantes
Georgia,"Meal for 2 People,Mid-range Restaurant, Three-course",37.45,Restaurantes
Kazakhstan,"Meal for 2 People,Mid-range Restaurant, Three-course",33.88,Restaurantes
Hong Kong (China),"Meal for 2 People,Mid-range Restaurant, Three-course",63.97,Restaurantes
Azerbaijan,"Meal for 2 People,Mid-range Restaurant, Three-course",35.29,Restaurantes
Poland,"Meal for 2 People,Mid-range Restaurant, Three-course",39.69,Restaurantes
Slovakia,"Meal for 2 People,Mid-range Restaurant, Three-course",42.94,Restaurantes
Czech Republic,"Meal for 2 People,Mid-range Restaurant, Three-course",42.91,Restaurantes
Chile,"Meal for 2 People,Mid-range Restaurant, Three-course",42.21,Restaurantes
Serbia,"Meal for 2 People,Mid-range Restaurant, Three-course",36.64,Restaurantes
Qatar,"Meal for 2 People,Mid-range Restaurant, Three-course",54.94,Restaurantes
United Arab Emirates,"Meal for 2 People,Mid-range Restaurant, Three-course",54.45,Restaurantes
South Africa,"Meal for 2 People,Mid-range Restaurant, Three-course",37.72,Restaurantes
Turkey,"Meal for 2 People,Mid-range Restaurant, Three-course",27.8,Restaurantes
Belarus,"Meal for 2 People,Mid-range Restaurant, Three-course",30.63,Restaurantes
Russia,"Meal for 2 People,Mid-range Restaurant, Three-course",32.64,Restaurantes
Moldova,"Meal for 2 People,Mid-range Restaurant, Three-course",34.01,Restaurantes
South Korea,"Meal for 2 People,Mid-range Restaurant, Three-course",36.7,Restaurantes
Jordan,"Meal for 2 People,Mid-range Restaurant, Three-course",42.33,Restaurantes
Argentina,"Meal for 2 People,Mid-range Restaurant, Three-course",25.94,Restaurantes
Cuba,"Meal for 2 People,Mid-range Restaurant, Three-course",25.0,Restaurantes
Palestine,"Meal for 2 People,Mid-range Restaurant, Three-course",26.87,Restaurantes
Jamaica,"Meal for 2 People,Mid-range Restaurant, Three-course",64.16,Restaurantes
Saudi Arabia,"Meal for 2 People,Mid-range Restaurant, Three-course",45.33,Restaurantes
Japan,"Meal for 2 People,Mid-range Restaurant, Three-course",39.14,Restaurantes
Kuwait,"Meal for 2 People,Mid-range Restaurant, Three-course",58.52,Restaurantes
Mauritius,"Meal for 2 People,Mid-range Restaurant, Three-course",32.44,Restaurantes
Ukraine,"Meal for 2 People,Mid-range Restaurant, Three-course",25.15,Restaurantes
Brazil,"Meal for 2 People,Mid-range Restaurant, Three-course",29.35,Restaurantes
Bosnia And Herzegovina,"Meal for 2 People,Mid-range Restaurant, Three-course",27.43,Restaurantes
North Macedonia,"Meal for 2 People,Mid-range Restaurant, Three-course",26.15,Restaurantes
Oman,"Meal for 2 People,Mid-range Restaurant, Three-course",25.98,Restaurantes
Uzbekistan,"Meal for 2 People,Mid-range Restaurant, Three-course",22.27,Restaurantes
