categoria_propia,pais,precio_relativo
"Alimentos, bebidas y tabaco",Albania,1.183811867125621
Restaurantes,Albania,1.099653548165195
Cuidado personal,Albania,0.6069879015435962
Nafta,Albania,1.461538776314068
Comunicaciones,Albania,0.8502408125526131
Ocio,Albania,0.6815920398009951
Ropa y calzado,Albania,1.144301470588235
Electrodomésticos,Albania,1.347683789328338
Tarifa horaria trabajo doméstico,Albania,1.127676528277215
Alquiler,Albania,0.8259335154826959
Transporte,Albania,1.0
Servicios públicos,Albania,2.058823529411764
Vehículos,Albania,2.63805476864967
"Alimentos, bebidas y tabaco",Algeria,1.660473101467489
Restaurantes,Algeria,1.966430291436233
Cuidado personal,Algeria,1.594529262086514
Nafta,Algeria,2.192269170931018
Comunicaciones,Algeria,0.9568889979320738
Ocio,Algeria,4.419354838709678
Ropa y calzado,Algeria,2.151913875598086
Electrodomésticos,Algeria,1.793346150915519
Tarifa horaria trabajo doméstico,Algeria,1.417089099507869
Alquiler,Algeria,4.19
Transporte,Algeria,2.331002331002331
Servicios públicos,Algeria,4.375
Vehículos,Algeria,0.856287239324727
"Alimentos, bebidas y tabaco",Argentina,1.291930589160861
Restaurantes,Argentina,1.834696473226004
Cuidado personal,Argentina,0.8784185134931404
Nafta,Argentina,1.388988106781049
Comunicaciones,Argentina,0.7982829174356094
Ocio,Argentina,1.473118279569892
Ropa y calzado,Argentina,1.857819074333801
Electrodomésticos,Argentina,1.247819458498364
Tarifa horaria trabajo doméstico,Argentina,0.8928280446071402
Alquiler,Argentina,2.712095875139354
Transporte,Argentina,2.141327623126339
Servicios públicos,Argentina,1.346153846153846
Vehículos,Argentina,1.493877332762954
"Alimentos, bebidas y tabaco",Armenia,0.8613100894665235
Restaurantes,Armenia,0.809404325740853
Cuidado personal,Armenia,1.924974623769805
Nafta,Armenia,1.032467572768506
Comunicaciones,Armenia,0.696923933766039
Ocio,Armenia,1.014814814814815
Ropa y calzado,Armenia,0.7133965068747677
Electrodomésticos,Armenia,0.8343726935348604
Tarifa horaria trabajo doméstico,Armenia,0.6765955558655147
Alquiler,Armenia,1.255645944633317
Transporte,Armenia,1.666666666666667
Servicios públicos,Armenia,1.4
Vehículos,Armenia,5.409953524399691
"Alimentos, bebidas y tabaco",Australia,0.6408251669922835
Restaurantes,Australia,0.3994967338670825
Cuidado personal,Australia,0.6040107287564914
Nafta,Australia,0.7290402213586871
Comunicaciones,Australia,0.5866790456133995
Ocio,Australia,1.030075187969925
Ropa y calzado,Australia,0.6212110439625548
Electrodomésticos,Australia,0.6911274325977973
Tarifa horaria trabajo doméstico,Australia,0.7523683972716395
Alquiler,Australia,0.4998308238876671
Transporte,Australia,0.3225806451612903
Servicios públicos,Australia,0.3026315789473684
Vehículos,Australia,1.083207320383079
"Alimentos, bebidas y tabaco",Austria,0.7677383889770966
Restaurantes,Austria,0.6678733493635948
Cuidado personal,Austria,1.093671175027107
Nafta,Austria,0.8075659342094317
Comunicaciones,Austria,0.8620240449508743
Ocio,Austria,0.7653631284916201
Ropa y calzado,Austria,0.6976149566355753
Electrodomésticos,Austria,0.7895425733438084
Tarifa horaria trabajo doméstico,Austria,0.9063151102436816
Alquiler,Austria,0.618546365914787
Transporte,Austria,0.5263157894736842
Servicios públicos,Austria,0.69
Vehículos,Austria,0.933804866492944
"Alimentos, bebidas y tabaco",Azerbaijan,1.354724220810217
