categoria_propia,pais,precio_relativo
Transporte,Belgium,0.6388888888888888
Servicios públicos,Belgium,0.4884388390330666
Vehículos,Belgium,0.8248535214635896
"Alimentos, bebidas y tabaco",Bolivia,1.577104812464856
Restaurantes,Bolivia,1.61991564457836
Cuidado personal,Bolivia,1.164539050873344
Nafta,Bolivia,2.446428571428571
Comunicaciones,Bolivia,0.9473684210526316
Ocio,Bolivia,1.352857142857143
Ropa y calzado,Bolivia,1.135296297911307
Electrodomésticos,Bolivia,1.042104552582574
Tarifa horaria trabajo doméstico,Bolivia,2.544529262086514
Alquiler,Bolivia,2.370303627400852
Transporte,Bolivia,1.346153846153846
Servicios públicos,Bolivia,2.743135011441647
Vehículos,Bolivia,1.621792639034018
"Alimentos, bebidas y tabaco",Bosnia And Herzegovina,1.263556987953139
Restaurantes,Bosnia And Herzegovina,1.484497209440139
Cuidado personal,Bosnia And Herzegovina,1.338976276771458
Nafta,Bosnia And Herzegovina,0.9319727891156463
Comunicaciones,Bosnia And Herzegovina,1.571428571428571
Ocio,Bosnia And Herzegovina,1.71875
Ropa y calzado,Bosnia And Herzegovina,0.8757149826917269
Electrodomésticos,Bosnia And Herzegovina,1.017688353255787
Tarifa horaria trabajo doméstico,Bosnia And Herzegovina,1.666666666666667
Alquiler,Bosnia And Herzegovina,2.185312985940064
Transporte,Bosnia And Herzegovina,1.25
Servicios públicos,Bosnia And Herzegovina,0.8110218652387327
Vehículos,Bosnia And Herzegovina,2.033704593433792
"Alimentos, bebidas y tabaco",Brazil,1.396036993424503
Restaurantes,Brazil,1.431378788521646
Cuidado personal,Brazil,1.345081310363308
Nafta,Brazil,1.234234234234234
Comunicaciones,Brazil,0.9154589371980677
Ocio,Brazil,1.372222222222222
Ropa y calzado,Brazil,1.237542595385733
Electrodomésticos,Brazil,0.9485645201647049
Tarifa horaria trabajo doméstico,Brazil,2.347417840375587
Alquiler,Brazil,1.519360686475236
Transporte,Brazil,0.7340425531914894
Servicios públicos,Brazil,0.8875790875790877
Vehículos,Brazil,1.28151376146789
"Alimentos, bebidas y tabaco",Bulgaria,1.202830914211523
Restaurantes,Bulgaria,1.327822621181783
Cuidado personal,Bulgaria,1.035153847765902
Nafta,Bulgaria,0.9194630872483223
Comunicaciones,Bulgaria,1.388888888888889
Ocio,Bulgaria,1.716516741629186
Ropa y calzado,Bulgaria,1.278290598290598
Electrodomésticos,Bulgaria,1.04646933475084
Tarifa horaria trabajo doméstico,Bulgaria,0.5
Alquiler,Bulgaria,1.563846278199275
Transporte,Bulgaria,1.521739130434783
Servicios públicos,Bulgaria,0.9979045776918117
Vehículos,Bulgaria,1.168814325161074
"Alimentos, bebidas y tabaco",Canada,0.607348796886925
Restaurantes,Canada,0.707083865102204
Cuidado personal,Canada,0.7480836834226975
Nafta,Canada,1.132231404958678
Comunicaciones,Canada,0.4527925531914894
Ocio,Canada,0.6804451929336296
Ropa y calzado,Canada,0.9899981831213974
Electrodomésticos,Canada,1.099023635122797
Tarifa horaria trabajo doméstico,Canada,0.4545454545454545
Alquiler,Canada,0.492216815930036
Transporte,Canada,0.4423076923076923
Servicios públicos,Canada,0.9621732145465167
Vehículos,Canada,1.149339696383758
"Alimentos, bebidas y tabaco",Chile,1.186554393886076
Restaurantes,Chile,0.9377448170402495
Cuidado personal,Chile,1.02551786657305
Nafta,Chile,1.007352941176471
Comunicaciones,Chile,1.083333333333333
Ocio,Chile,1.298717948717949
Ropa y calzado,Chile,1.39141661736453
Electrodomésticos,Chile,1.374666176036039
Tarifa horaria trabajo doméstico,Chile,0.9090909090909091
Alquiler,Chile,1.174339171632419
Transporte,Chile,0.8023255813953488
Servicios públicos,Chile,1.732363719651855
Vehículos,Chile,1.689261095658483
"Alimentos, bebidas y tabaco",China,1.346831399178978
Restaurantes,China,1.346764514671187
Cuidado personal,China,1.158664069366672
Nafta,China,1.181034482758621
Comunicaciones,China,2.012820512820513
Ocio,China,0.7751261795040597
Ropa y calzado,China,1.076619601328904
Electrodomésticos,China,1.797591295713541
Tarifa horaria trabajo doméstico,China,1.666666666666667
Alquiler,China,0.7667404077736502
Transporte,China,0.9857142857142858
Servicios públicos,China,1.609454545454545
Vehículos,China,1.214493761683259
"Alimentos, bebidas y tabaco",Colombia,1.449116913636197
Restaurantes,Colombia,1.580110222783271
Cuidado personal,Colombia,1.20785989585787
Nafta,Colombia,1.304761904761905
Comunicaciones,Colombia,1.578947368421053
Ocio,Colombia,1.522321428571429
Ropa y calzado,Colombia,1.23317630169377
Electrodomésticos,Colombia,0.9970845904810026
Tarifa horaria trabajo doméstico,Colombia,2.320185614849188
Alquiler,Colombia,1.617713847568618
Transporte,Colombia,0.9078947368421053
Servicios públicos,Colombia,1.571795848409827
Vehículos,Colombia,1.391423448550652
"Alimentos, bebidas y tabaco",Costa Rica,0.7665503168628127
Restaurantes,Costa Rica,0.8718834200346806
Cuidado personal,Costa Rica,0.7027824211851361
Nafta,Costa Rica,1.0
Comunicaciones,Costa Rica,1.267857142857143
Ocio,Costa Rica,1.18735632183908
Ropa y calzado,Costa Rica,1.008742833742834
Electrodomésticos,Costa Rica,0.9741456651170377
Tarifa horaria trabajo doméstico,Costa Rica,2.242152466367713
Alquiler,Costa Rica,1.174102562494094
Transporte,Costa Rica,0.8023255813953488
Servicios públicos,Costa Rica,2.062725188339338
Vehículos,Costa Rica,0.9772276526420173
"Alimentos, bebidas y tabaco",Croatia,0.9943183168243073
Restaurantes,Croatia,0.91928569346961
Cuidado personal,Croatia,1.205032100868195
Nafta,Croatia,0.8782051282051282
Comunicaciones,Croatia,1.088461538461539
Ocio,Croatia,1.177884615384615
Ropa y calzado,Croatia,1.241006641741936
Electrodomésticos,Croatia,0.7172602427596003
Tarifa horaria trabajo doméstico,Croatia,0.5882352941176471
Alquiler,Croatia,1.095956744329603
Transporte,Croatia,0.6388888888888888
Servicios públicos,Croatia,0.8750649350649351
Vehículos,Croatia,1.053193093568574
"Alimentos, bebidas y tabaco",Cyprus,0.7854077650040227
Restaurantes,Cyprus,0.7201473504857873
Cuidado personal,Cyprus,0.8304231909011163
Nafta,Cyprus,0.8303030303030304
Comunicaciones,Cyprus,2.157407407407407
Ocio,Cyprus,1.019500710732054
Ropa y calzado,Cyprus,0.8583244086422053
Electrodomésticos,Cyprus,0.9022826405132673
Tarifa horaria trabajo doméstico,Cyprus,1.25
Alquiler,Cyprus,0.8567705288779329
Transporte,Cyprus,0.6764705882352942
Servicios públicos,Cyprus,0.5282880755608028
Vehículos,Cyprus,1.182168246445498
"Alimentos, bebidas y tabaco",Czech Republic,1.156250682875757
Restaurantes,Czech Republic,1.149620713351231
Cuidado personal,Czech Republic,0.8762867367657914
Nafta,Czech Republic,0.8203592814371259
Comunicaciones,Czech Republic,1.0
Ocio,Czech Republic,0.639648033126294
Ropa y calzado,Czech Republic,0.8128591067377442
Electrodomésticos,Czech Republic,0.7471199571963617
Tarifa horaria trabajo doméstico,Czech Republic,0.8333333333333334
Alquiler,Czech Republic,0.6958051602852703
Transporte,Czech Republic,1.458333333333333
Servicios públicos,Czech Republic,0.6138585393904543
Vehículos,Czech Republic,0.8991462460896767
"Alimentos, bebidas y tabaco",Denmark,0.6809069050068123
Restaurantes,Denmark,0.5192276692024836
Cuidado personal,Denmark,0.9618364670002735
Nafta,Denmark,0.6682926829268294
Comunicaciones,Denmark,0.9381720430107527
Ocio,Denmark,0.6456950456950457
Ropa y calzado,Denmark,0.7718013914328867
Electrodomésticos,Denmark,1.04023227994567
Tarifa horaria trabajo doméstico,Denmark,0.2380952380952381
Alquiler,Denmark,0.4424755658220275
Transporte,Denmark,0.359375
Servicios públicos,Denmark,0.4973919011667811
Vehículos,Denmark,0.5106505043027667
"Alimentos, bebidas y tabaco",Dominican Republic,1.186847306113069
Restaurantes,Dominican Republic,1.105348896604376
Cuidado personal,Dominican Republic,1.25891126519246
Nafta,Dominican Republic,1.030075187969925
Comunicaciones,Dominican Republic,0.9074074074074074
Ocio,Dominican Republic,1.19212715389186
Ropa y calzado,Dominican Republic,1.339471182825613
Electrodomésticos,Dominican Republic,1.168066500766472
Tarifa horaria trabajo doméstico,Dominican Republic,0.4761904761904762
Alquiler,Dominican Republic,1.655874856626802
Transporte,Dominican Republic,0.6509433962264151
Servicios públicos,Dominican Republic,2.360084033613445
Vehículos,Dominican Republic,2.567502986857825
"Alimentos, bebidas y tabaco",Ecuador,1.225470312611594
Restaurantes,Ecuador,1.270947806460797
Cuidado personal,Ecuador,0.9932687279307986
Nafta,Ecuador,1.473118279569892
Comunicaciones,Ecuador,0.6425438596491229
Ocio,Ecuador,1.018634259259259
Ropa y calzado,Ecuador,1.000682184391201
