,country,category,item_names,item_prices_local_curr,item_prices_usd,categoria_propia
4,Algeria,Food,"12 eggs, large",269.0,2.0,"Alimentos, bebidas y tabaco"
5,Algeria,Food,1 kg (2 lb.) of tomatoes,91.0,0.68,"Alimentos, bebidas y tabaco"
6,Algeria,Food,500 gr (16 oz.) of local cheese,586.0,4.35,"Alimentos, bebidas y tabaco"
7,Algeria,Food,1 kg (2 lb.) of apples,523.0,3.88,"Alimentos, bebidas y tabaco"
8,Algeria,Food,1 kg (2 lb.) of potatoes,82.0,0.61,"Alimentos, bebidas y tabaco"
9,Algeria,Food,0.5 l (16 oz) domestic beer in the supermarket,235.0,1.74,"Alimentos, bebidas y tabaco"
10,Algeria,Food,"1 bottle of red table wine, good quality",1415.0,11.0,"Alimentos, bebidas y tabaco"
11,Algeria,Food,2 liters of coca-cola,153.0,1.13,"Alimentos, bebidas y tabaco"
12,Algeria,Food,Bread for 2 people for 1 day,43.0,0.32,"Alimentos, bebidas y tabaco"
13,Algeria,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in expensive area,82956.0,616.0,Alquiler
14,Algeria,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in normal area,44876.0,333.0,Alquiler
15,Algeria,Housing,"Utilities 1 month (heating, electricity, gas ...) for 2 people in 85m2 flat",4422.0,33.0,Servicios públicos
16,Algeria,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in expensive area,53056.0,394.0,Alquiler
17,Algeria,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in normal area,30096.0,223.0,Alquiler
18,Algeria,Housing,"Utilities 1 month (heating, electricity, gas ...) for 1 person in 45 m2 (480 sqft) studio",7813.0,58.0,Servicios públicos
19,Algeria,Housing,Internet 8 mbps (1 month),1955.0,15.0,Comunicaciones
20,Algeria,Housing,40” flat screen tv,41141.0,305.0,Electrodomésticos
21,Algeria,Housing,"Microwave 800/900 watt (bosch, panasonic, lg, sharp, or equivalent brands)",31638.0,235.0,Electrodomésticos
22,Algeria,Housing,Laundry detergent (3 l. ~ 100 oz.),774.0,5.75,Cuidado personal
23,Algeria,Housing,Hourly rate for cleaning help,578.0,4.29,Tarifa horaria trabajo doméstico
24,Algeria,Clothes,1 pair of jeans (levis 501 or similar),4800.0,36.0,Ropa y calzado
25,Algeria,Clothes,"1 summer dress in a high street store (zara, h&m or similar retailers)",9364.0,70.0,Ropa y calzado
26,Algeria,Clothes,"1 pair of sport shoes (nike, adidas, or equivalent brands)",19190.0,142.0,Ropa y calzado
27,Algeria,Clothes,1 pair of men’s leather business shoes,11063.0,82.0,Ropa y calzado
