variable,apertura,precio_indice_argentina,precio_indice_argentina_mep,precio_indice_brasil,precio_indice_chile,precio_indice_colombia,precio_indice_mexico,precio_indice_peru,precio_indice_uruguay
Oferente,Filtrado tienda oficial,176.4833701240965,151.66566788581363,92.90540839691917,85.59933952623074,73.97917766149688,100.91569269277699,119.6841694664426,98.42927773523176
Oferente,Sin filtro de tienda oficial,136.82513263027792,117.58430898811794,71.02928125967503,94.73799233383927,98.15867820709828,102.58839493431262,118.1215731391025,115.36408012597232
Gama,Alta gama,147.3309147320693,126.6127316548577,104.36053127478739,84.99747290309439,87.67906742175235,97.94347735583544,101.42348767266635,117.63621018451249
Gama,Baja gama,123.61056522203242,106.22801977863388,84.23309373855969,98.0383366879914,111.4291323470689,99.45997432126524,122.94564547447673,83.89381743063808
Destinatario,bebés y niños,101.08293954004375,86.86830677826485,79.26936654888557,81.62849265795302,110.53944246120366,115.66996704604868,108.45541539649358,104.43731588941543
Destinatario,hombre,159.63038509230344,137.1826079299707,83.97938552312094,97.79102460938269,90.63240920357015,102.33922865313683,108.40570145316282,116.85225055762658
Destinatario,mujer,148.8014053955328,127.87643683250252,80.3135325484652,94.24722566014316,91.10045126046096,100.36634186667521,135.55079360958973,98.42165505466566
Material y confección,Plano,157.8574037766358,135.6589493824218,85.36604639834019,97.1431266869169,92.59375586780337,101.42564764322634,123.32644669723156,100.14497670648157
Material y confección,Punto,126.63657139874636,108.82849849509995,75.78079000900101,88.63600334764831,95.37017102875517,106.65150101964203,105.51978930996565,128.04174528498788
