pais,ratio_90_10
Uruguay,4.868488455414133
Argentina,4.112708434911368
Peru,3.4517563035389522
Promedio de los 6 países analizados,3.4507596809837047
Mexico,3.3085700691421494
Brasil,3.3009181152625304
Chile,3.011592624174307
Colombia,2.7632325183701556
