producto_buscado_arg,share,share_canasta
Pantalón de jean niño,0.02,0.18
Remera bebés,0.02,0.15
Remera niños,0.02,0.15
Buzo niño,0.01,0.13
Buzo bebé,0.01,0.13
Campera para niños,0.01,0.08
Campera para bebés,0.01,0.08
Vestido bebés,0.00,0.04
Vestido niñas,0.00,0.04
