producto_buscado_arg,share,share_canasta
Pantalón de jean hombre,0.09,0.24
Remera hombre,0.07,0.20
Camisa hombre,0.06,0.17
Campera hombre,0.04,0.12
Buzo hombre,0.02,0.05
Joggins hombre,0.02,0.05
Traje hombres,0.02,0.04
Calzoncillo hombre,0.02,0.04
Bermuda hombre,0.01,0.03
Traje de baño hombre,0.01,0.03
Medias,0.01,0.02
Soquetes,0.01,0.02
