producto_buscado_arg,share,share_canasta
Pantalón de jean mujer,0.07,0.27
Remera mujer,0.06,0.22
Campera mujer.,0.04,0.16
Blusa mujer,0.02,0.08
Camisa mujer,0.02,0.08
Mono mujer,0.01,0.05
Vestido mujer,0.01,0.05
Pollera mujer,0.01,0.03
Buzo mujer,0.01,0.03
Joggins mujer,0.01,0.03
