categoria_propia,pais,precio_relativo
Alquiler,Ireland,0.2868666290861727
Servicios de la vivienda,Ireland,0.4461713088273815
Comunicaciones,Ireland,0.6700631888676813
Ocio,Ireland,0.6727873484607281
Ropa y calzado,Ireland,0.8743423455178065
Precio metro cuadrado,Ireland,0.4259674613104131
Enseñanza privada,Ireland,0.5443061667550121
Restaurantes,Australia,0.4800610430909587
"Alimentos, bebidas y tabaco",Australia,0.5887636672703371
Transporte,Australia,0.4017579630408213
Nafta,Australia,1.129032258064516
Vehículos,Australia,1.124286789247216
Alquiler,Australia,0.3514281353717249
Servicios de la vivienda,Australia,0.4752825187183184
Comunicaciones,Australia,0.5717348263071886
Ocio,Australia,0.7005503745959707
Ropa y calzado,Australia,0.6974771734307816
Precio metro cuadrado,Australia,0.258023511885315
Enseñanza privada,Australia,0.3880625169074867
Restaurantes,Greece,0.7599982210744369
"Alimentos, bebidas y tabaco",Greece,0.8932087233266105
Transporte,Greece,0.7540660014696849
Nafta,Greece,0.6731707317073171
Vehículos,Greece,1.021684019113321
Alquiler,Greece,0.9506294628266954
Servicios de la vivienda,Greece,0.4479116448262261
Comunicaciones,Greece,0.8336232888029762
Ocio,Greece,0.7891725728732711
Ropa y calzado,Greece,0.8932086114201901
Precio metro cuadrado,Greece,0.7239693358363279
Enseñanza privada,Greece,0.7841453018907942
Restaurantes,Uruguay,0.6501158155066812
"Alimentos, bebidas y tabaco",Uruguay,0.7732914759571579
Transporte,Uruguay,0.8326209199676304
Nafta,Uruguay,0.6831683168316831
Vehículos,Uruguay,0.6649299835603333
Alquiler,Uruguay,0.8525722860635658
Servicios de la vivienda,Uruguay,0.7414931437277805
Comunicaciones,Uruguay,0.8281359049356769
Ocio,Uruguay,0.6774505505370442
Ropa y calzado,Uruguay,0.7432946507075663
Precio metro cuadrado,Uruguay,0.8590610803635534
Enseñanza privada,Uruguay,0.8422677873869296
Restaurantes,Cyprus,0.7174003620831343
"Alimentos, bebidas y tabaco",Cyprus,0.8416712251443057
Transporte,Cyprus,0.44366047669043
Nafta,Cyprus,0.9199999999999999
Vehículos,Cyprus,0.964664405104884
Alquiler,Cyprus,0.5008177564169237
Servicios de la vivienda,Cyprus,0.5161094838905161
Comunicaciones,Cyprus,0.8238508795101565
Ocio,Cyprus,0.621697266010055
Ropa y calzado,Cyprus,0.8086846038220079
Precio metro cuadrado,Cyprus,0.73530631656944
Enseñanza privada,Cyprus,0.8168792205140769
Restaurantes,Austria,0.5514763062466869
"Alimentos, bebidas y tabaco",Austria,0.7254708424468286
Transporte,Austria,0.4341345693153114
Nafta,Austria,0.7976878612716762
Vehículos,Austria,1.068652779443255
Alquiler,Austria,0.5431362060590306
Servicios de la vivienda,Austria,0.2903079195545961
Comunicaciones,Austria,0.8437603018360066
Ocio,Austria,0.7371448652907324
Ropa y calzado,Austria,0.7835412978337111
Precio metro cuadrado,Austria,0.340423187846347
Enseñanza privada,Austria,0.7670267282176396
Restaurantes,Italy,0.5870391421365413
"Alimentos, bebidas y tabaco",Italy,0.8554599323298011
Transporte,Italy,0.5384382185592447
Nafta,Italy,0.7150259067357513
Vehículos,Italy,0.987706266477429
Alquiler,Italy,0.6361719556822518
Servicios de la vivienda,Italy,0.4759243736611716
Comunicaciones,Italy,1.133923494037944
Ocio,Italy,0.7403859616534916
Ropa y calzado,Italy,0.8804407305845904
Precio metro cuadrado,Italy,0.5575586498047214
Enseñanza privada,Italy,0.6451916740848223
Restaurantes,Malta,0.6201318684973731
"Alimentos, bebidas y tabaco",Malta,0.8401402542277508
Transporte,Malta,0.5411086599752086
Nafta,Malta,0.9583333333333333
Vehículos,Malta,1.046806299751257
Alquiler,Malta,0.499055040960081
Servicios de la vivienda,Malta,1.004011741682975
Comunicaciones,Malta,0.7645621810645693
Ocio,Malta,0.6836003512942638
Ropa y calzado,Malta,0.8709257276018378
Precio metro cuadrado,Malta,0.5298888967354781
Enseñanza privada,Malta,0.7038582004159133
Restaurantes,France,0.5283740647519521
"Alimentos, bebidas y tabaco",France,0.6947258431202612
Transporte,France,0.4914457040751222
Nafta,France,0.7040816326530612
Vehículos,France,0.8657718960174982
Alquiler,France,0.5874026687561469
Servicios de la vivienda,France,0.5374986851793416
Comunicaciones,France,0.7581815552275313
Ocio,France,0.8641509678295104
Ropa y calzado,France,0.8085243050695923
Precio metro cuadrado,France,0.3378334855576446
Enseñanza privada,France,0.5408640978852075
Restaurantes,Finland,0.4892741800938413
"Alimentos, bebidas y tabaco",Finland,0.6890645713689151
Transporte,Finland,0.3807719797130882
Nafta,Finland,0.6602870813397129
Vehículos,Finland,0.8776943384499353
Alquiler,Finland,0.6097304326301816
Servicios de la vivienda,Finland,0.7957642295413844
Comunicaciones,Finland,0.9527952638594841
Ocio,Finland,0.6439476280691451
Ropa y calzado,Finland,0.8745134993554414
Precio metro cuadrado,Finland,0.4113853283235495
Enseñanza privada,Finland,0.872539857474304
Restaurantes,New Zealand,0.5508061657300423
"Alimentos, bebidas y tabaco",New Zealand,0.6442490279228047
Transporte,New Zealand,0.4674455810220371
Nafta,New Zealand,0.8214285714285714
Vehículos,New Zealand,1.237355073734495
Alquiler,New Zealand,0.4538542724278471
Servicios de la vivienda,New Zealand,0.7518022657054583
Comunicaciones,New Zealand,0.5110090144009094
Ocio,New Zealand,0.9043885783677679
Ropa y calzado,New Zealand,0.8308627044319287
Precio metro cuadrado,New Zealand,0.3268860364670924
Enseñanza privada,New Zealand,0.5061692585962928
Restaurantes,Germany,0.5817977400489409
"Alimentos, bebidas y tabaco",Germany,0.8380340094857213
Transporte,Germany,0.4208422867361619
Nafta,Germany,0.7340425531914894
Vehículos,Germany,0.9302219658532153
Alquiler,Germany,0.5043047699385894
Servicios de la vivienda,Germany,0.3258201294353939
Comunicaciones,Germany,0.7162429722059283
Ocio,Germany,0.7866770888180782
Ropa y calzado,Germany,0.849919980003645
Precio metro cuadrado,Germany,0.3366657327378617
Enseñanza privada,Germany,0.6408937939681668
Restaurantes,Spain,0.7386618047156345
"Alimentos, bebidas y tabaco",Spain,1.025844344891214
Transporte,Spain,0.661213799581167
Nafta,Spain,0.8023255813953488
Vehículos,Spain,0.8762137136658911
Alquiler,Spain,0.546423831813024
Servicios de la vivienda,Spain,0.7264197881867936
Comunicaciones,Spain,0.8701263226787809
Ocio,Spain,0.9687735297951453
Ropa y calzado,Spain,1.017720597677212
Precio metro cuadrado,Spain,0.6741790167681045
Enseñanza privada,Spain,0.7746608109230835
Restaurantes,Estonia,0.6330103435518156
"Alimentos, bebidas y tabaco",Estonia,0.9452049145519645
Transporte,Estonia,0.818413641223596
Nafta,Estonia,0.7419354838709676
Vehículos,Estonia,0.9872071808439182
Alquiler,Estonia,0.8421935596395166
Servicios de la vivienda,Estonia,0.3562713518789654
Comunicaciones,Estonia,0.9708051073764037
Ocio,Estonia,0.7043324134972813
Ropa y calzado,Estonia,0.9535795853481075
Precio metro cuadrado,Estonia,0.5670302476873263
Enseñanza privada,Estonia,1.029324286717538
Restaurantes,Slovenia,0.7101021263560998
"Alimentos, bebidas y tabaco",Slovenia,0.9086493608519484
Transporte,Slovenia,0.7716899835993882
Nafta,Slovenia,0.8789808917197451
Vehículos,Slovenia,0.9999493285159293
Alquiler,Slovenia,0.6658744858988153
Servicios de la vivienda,Slovenia,0.4004388370817334
Comunicaciones,Slovenia,1.195829254410928
Ocio,Slovenia,0.8457010247720782
Ropa y calzado,Slovenia,0.8060326441968447
Precio metro cuadrado,Slovenia,0.4818443278868111
Enseñanza privada,Slovenia,0.7109618570077701
Restaurantes,Lithuania,0.681433269308524
"Alimentos, bebidas y tabaco",Lithuania,0.9605939213334094
Transporte,Lithuania,0.973022287409888
Nafta,Lithuania,0.8466257668711656
Vehículos,Lithuania,0.8441037618435523
Alquiler,Lithuania,0.814261305997383
Servicios de la vivienda,Lithuania,0.4938868216305031
Comunicaciones,Lithuania,1.588878367003367
Ocio,Lithuania,0.8372621076633469
Ropa y calzado,Lithuania,0.8712378056294203
Precio metro cuadrado,Lithuania,0.636914550852566
Enseñanza privada,Lithuania,0.7672789905693327
Restaurantes,Sweden,0.5694811427211102
"Alimentos, bebidas y tabaco",Sweden,0.7063464326404099
Transporte,Sweden,0.3678873347300686
Nafta,Sweden,0.7666666666666666
Vehículos,Sweden,0.9595082818130811
Alquiler,Sweden,0.59383890534163
Servicios de la vivienda,Sweden,1.009742176736863
Comunicaciones,Sweden,0.8053065548108403
Ocio,Sweden,0.7545131720396435
Ropa y calzado,Sweden,0.8943897105107921
Precio metro cuadrado,Sweden,0.4565891653626244
Enseñanza privada,Sweden,2.789005055345632
Restaurantes,Singapore,0.6697672869098085
"Alimentos, bebidas y tabaco",Singapore,0.5421005372883209
Transporte,Singapore,0.7371717868688188
Nafta,Singapore,0.657142857142857
Vehículos,Singapore,0.2197531508659847
Alquiler,Singapore,0.1831945066673772
Servicios de la vivienda,Singapore,0.6824252136752137
Comunicaciones,Singapore,0.8998099068705543
Ocio,Singapore,0.7585359702900741
Ropa y calzado,Singapore,0.8939224818979357
Precio metro cuadrado,Singapore,0.116168145027939
Enseñanza privada,Singapore,0.2720484792154128
Restaurantes,Portugal,0.865934177894711
"Alimentos, bebidas y tabaco",Portugal,1.017612762798938
Transporte,Portugal,0.7145252687871929
Nafta,Portugal,0.7499999999999999
Vehículos,Portugal,0.8072667601781942
Alquiler,Portugal,0.5144227494106373
Servicios de la vivienda,Portugal,0.8508158508158508
Comunicaciones,Portugal,0.7886759193430546
Ocio,Portugal,1.01396706128171
Ropa y calzado,Portugal,1.001950580128134
Precio metro cuadrado,Portugal,0.7056091998983103
Enseñanza privada,Portugal,0.7209795010413411
Restaurantes,Latvia,0.7682381157248794
"Alimentos, bebidas y tabaco",Latvia,0.9796089558822226
Transporte,Latvia,0.9206503317573363
Nafta,Latvia,0.7624309392265193
Vehículos,Latvia,1.083561893001433
