rubro,poder_compra_relativo_ropa_y_calzado
Restaurantes,1.5465590177324289
"Alimentos, bebidas y tabaco",1.7405737260348846
Servicios de transporte,2.408140953214807
Nafta,1.8791326994733983
Vehículos,1.3970153070381732
Alquiler,2.1085114882416613
Servicios de la vivienda,2.7792444853246145
Comunicaciones,1.6423658148161462
Ocio,2.20719573405148
Ropa y calzado,1.0
Precio metro cuadrado,1.2953391952844724
Enseñanza privada,2.506885781204831
